objectid,filename,youtubeid,vimeoid,title,creator,date,period,description,subject,location,latitude,longitude,source,dpla_record,identifier,type,format,file_size,image_dimensions,language,rights,rightsstatement
coll011,406_NSB_027_plaque.jpg,,,Coronado Trail Scenic Byway - Coronado Trail Historical Marker,"Department of Transportation. Federal Highway Administration. Office of Planning, Environment, and Realty. Office of Natural and Human Environment. National Scenic Byways Program. 1991",1991,,"Historical marker along the Corondao Trail Scenic Byway. Surrounded by spring greenery, this marker stands near Hannagan Meadow commemorating the 1926 opening of the Coronado Trail, the U.S.'s 1st Federal Aid Highway. ",Coronado Trail; White Mountains; Hannagan Meadow; Spanish Exploration,"Hannagan Meadow, Arizona; United States",33.63741,109.32721,Records of the Federal Highway Administration,https://dp.la/item/389f3939a1f2d91d36c4138204360114?q=Coronado+trail&type=%22image%22&page=1,7717811,Image;StillImage,image/jpeg,"338,251 bytes",575x452,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll012,406_NSB_027_summerlakesummer.jpg,,,Coronado Trail Scenic Byway - Summer Lake,"Department of Transportation. Federal Highway Administration. Office of Planning, Environment, and Realty. Office of Natural and Human Environment. National Scenic Byways Program. 1991",1991,,Summer lake along the Coronado Trail Scenic Byway. Coronado Trail winds for more than a hundred miles from the twin cities of Eagar and Springerville in the north to the twin cities of Clifton and Morenci in the south.,Coronado Trail; White Mountains; Lakes; Fishing; Spanish Exploration,"White Mountains, Arizona; United States",33.8805,109.41944,Records of the Federal Highway Administration,https://dp.la/item/215450a25e9bbc159e90819e6b2b0bf9?q=Coronado+trail&type=%22image%22&page=1,7717815,Image;StillImage,image/jpeg,"878,224 bytes",1280x1024,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll013,406_NSB_027_switchbacksabovechasecreek.jpg,,,Coronado Trail Scenic Byway - Switchbacks above Chase Creek,"Department of Transportation. Federal Highway Administration. Office of Planning, Environment, and Realty. Office of Natural and Human Environment. National Scenic Byways Program. 1991",1991,,Switchbacks along the Coronado Trail Scenic Byway. Looking south from the Chase Creek Overlook the first of many switchbacks can be seen in the foreground.,"Coronado Trail; Chase Creek; Clifton, Arizona; Metcalf, Arizona; Morenci, Arizona; Spanish Exploration","Chase Creek Overlook, Arizona; United States",33.16712,109.36625,Records of the Federal Highway Administration,https://dp.la/item/1108e3009cedb162b56b1718c26e0c6b?q=coronado+trail&page=2,7717817,Image;StillImage,image/jpeg,"244,958 bytes",640x480,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll014,406_NSB_027_rusticmeadowcabin.jpg,,,Coronado Trail Scenic Byway - Rustic Meadow Cabin,"Department of Transportation. Federal Highway Administration. Office of Planning, Environment, and Realty. Office of Natural and Human Environment. National Scenic Byways Program. 1991",1991,,Rustic meadown cabin along the Coronado Trail Scenic Byway. Coronado Trail winds for more than a hundred miles from the twin cities of Eagar and Springerville in the north to the twin cities of Clifton and Morenci in the south.,Coronado Trail; White Mountains; Cabins; Spanish Exploration,"White Mountains, Arizona; United States",33.18244,109.38082,Records of the Federal Highway Administration,https://dp.la/item/ead377084b43e77e39b5d6289d1c6c41?q=Coronado+trail&type=%22image%22&page=1,7717814,Image;StillImage,image/jpeg,"163,290 bytes",640x480,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll015,406_NSB_027_coronadotrailstream.jpg,,,Coronado Trail Scenic Byway - Stream Along the Coronado Trail,"Department of Transportation. Federal Highway Administration. Office of Planning, Environment, and Realty. Office of Natural and Human Environment. National Scenic Byways Program. 1991",1991,,Mountain stream along Coronado Trail Scenic Byway. Coronado Trail winds for more than a hundred miles from the twin cities of Eagar and Springerville in the north to the twin cities of Clifton and Morenci in the south.,Coronado Trail; White Mountains; Streams; Fishing; Spanish Exploration,"White Mountains, Arizona; United States",33.60643,109.3453,Records of the Federal Highway Administration,https://dp.la/item/25336b54b953cfb9d2397cf6b9858375?q=Coronado+trail&type=%22image%22&page=1,7717801,Image;StillImage,image/jpeg,"754,552 bytes",960x1280,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll016,406_NSB_027_madonnaofthetrail.jpg,,,Coronado Trail Scenic Byway - Madonna of the Trail,"Department of Transportation. Federal Highway Administration. Office of Planning, Environment, and Realty. Office of Natural and Human Environment. National Scenic Byways Program. 1991",1991,,Madonna of the Trail monument along Coronado Trail Scenic Byway. The Madonna Of The Trail Monument commemorates the integral role of women in the westward migration and settling of the trail.,"Coronado Trail; White Mountains; Springerville, Arizona; National Old Trails Road; Pioneers; Spanish Exploration","Springerville, Arizona; United States",34.13325,109.28552,Records of the Federal Highway Administration,https://dp.la/item/73400f63a464a4a4cf870a7fddf5880a?q=Coronado+trail&type=%22image%22&page=1,7717808,Image;StillImage,image/jpeg,"547,837 bytes",960x1280,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll017,p15330coll22_38001_medium.jpg,,,"Fort Defiance - Two, two story, brick buildings, fortification and corral ",,1896,,"Two, two-story brick buildings and a fortification and a corral at Fort Defiance, Arizona. Fort Defiance was established on September 18, 1851, by Col. Edwin V. Sumner to create a military presence in Diné bikéyah (Navajo territory).",Boarding schools;Arizona;Fort Defiance;Indigenous People of North America;Government Relations;Navajo Nation;Buildings;Corrals,"Fort Defiance, Arizona; United States",35.74446,-109.076483,Denver Public Library Special Collections,https://dp.la/item/133417a664de432fda4e213eac55f5b8?q=fort+defiance,ZZR710033455,Image;StillImage,image/jpeg,"22,684 bytes",499x380,eng,"In Copyright - Non-commercial Use Permitted; Credit as ""Denver Public Library Special Collections"" unless otherwise noted.",
coll018,p15330coll22_38002_medium.jpg,,,Fort Defiance - Native Americans (Navajo) build wood and adobe building,,1896,,"Native Americans (Navajo) building a wood and adobe building at Fort Defiance, Arizona. Fort Defiance was established on September 18, 1851, by Col. Edwin V. Sumner to create a military presence in Diné bikéyah (Navajo territory).",Indigenous People of North America;Arizona;Fort Defiance;Navajo Nation;Building Construction,"Fort Defiance, Arizona; United States",35.74446,-109.076483,Denver Public Library Special Collections,https://dp.la/item/146321d122ab5aa1d1b82f6ff6223c75?q=fort+defiance,ZZR710033456,Image;StillImage,image/jpeg,"25,821 bytes",499x378,eng,"In Copyright - Non-commercial Use Permitted; Credit as ""Denver Public Library Special Collections"" unless otherwise noted.",
coll019,p15330coll22_38004_medium.jpg,,,Fort Defiance - Two brick buildings ,,1896,,"Two brick buildings in Fort Defiance, Arizona. Fort Defiance was established on September 18, 1851, by Col. Edwin V. Sumner to create a military presence in Diné bikéyah (Navajo territory).",Boarding Schools;Arizona;Fort Defiance;Indigenous People of North America;Navajo Nation;Government Relations;Buildings;Girls,"Fort Defiance, Arizona; United States",35.74446,-109.076483,Denver Public Library Special Collections,https://dp.la/item/e99d0bc408c5b328a9eeb8df07a46445?q=fort+defiance,ZZR710033458,Image;StillImage,image/jpeg,"21,046 bytes",500x328,eng,"In Copyright - Non-commercial Use Permitted; Credit as ""Denver Public Library Special Collections"" unless otherwise noted.",
coll020,p15330coll22_63007_medium.jpg,,,Fort Defiance - Native American (Navajo) women and men ,"O'Sullivan, Timothy H., 1840-1882",1873,,"Native American (Navajo) women and men at Fort Defiance, Arizona. People sit on the ground or on horseback, or stand beside an adobe wall and a timber wall. People are beneath a shaded stone shelter with vigas. Woven blankets and burlap sacks are on the ground. Rocky hills are in the distance.",Navajo Nation;Arizona;Fort Defiance;1880-1910;19th Century;Horseback Riding;Shelters;Women;Geographical Surveys West of the 100th Meridian (U.S.),"Fort Defiance, Arizona; United States",35.74446,-109.076483,Denver Public Library Special Collections,https://dp.la/item/2653eaf1f5eab5d4e667e4644a539eec?q=fort+defiance,ZZR711001943,Image;StillImage,image/jpeg,"37,677 bytes",500x366,eng,"In Copyright - Non-commercial Use Permitted; Credit as ""Denver Public Library Special Collections"" unless otherwise noted.",
coll021,p15330coll22_38009_medium.jpg,,,"Fort Defiance - View of Fort Defiance, Arizona","Rose, Noah H.",1900,,"View of Fort Defiance, Arizona. An orchard is near the middle of the town at Fort Defiance, Arizona. Fort Defiance was established on September 18, 1851, by Col. Edwin V. Sumner to create a military presence in Diné bikéyah (Navajo territory).",Boarding Schools;Arizona;Fort Defiance;Indigenous People of North America;Government Relations;Navajo Nation,"Fort Defiance, Arizona; United States",35.74446,-109.076483,Denver Public Library Special Collections,https://dp.la/item/48b8d52671c5a03545f12b1670557f97?q=fort+defiance,ZZR710033460,Image;StillImage,image/jpeg,"34,006 bytes",500x256,eng,"In Copyright - Non-commercial Use Permitted; Credit as ""Denver Public Library Special Collections"" unless otherwise noted.",
